"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","14","12","5","10","11","1","7","13","9","4","7","11","1","13","4","9","12","2","8","5","14","2","8","7","1","11","5","4","9","13","6","3","3","6","3","6","10","12","14","10"
"K","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"threshold","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.01","0.01","0.1","0.1","0.2","0.2","0.1","0.2","0.2","0.2"
"LL","7638830.42512122","7590915.48020002","7567300.47515866","7443725.00443128","7590119.35955189","7545085.46093909","7076282.34866304","7071433.46653087","7056193.51147261","7006514.03710798","6993447.67076447","6986877.56629435","5718464.29969563","5715264.43410766","5710210.39372252","5627319.21146974","5621922.01265126","5616668.13949932","5495716.50526139","5489523.26196319","5434818.96992866","5378533.47980295","5341104.42001304","5285772.91350511","5092540.03744801","4994492.74244705","4992511.24166991","4980107.72915409","4979460.280144","4903210.26300453","4884130.91014984","4875178.42456685","1630295.45334411","1604694.94612885","1680014.18721391","1624139.24054247","1584470.90046217","1578550.72111305","-Inf","-Inf","-Inf","-Inf"
"BIC","13981451.1112038","13964838.916684","13884554.2323438","13851651.1486934","13782585.6304122","13777269.7696513","13238749.7356642","13231171.6567091","13200567.5809259","13099337.2782207","13075200.0651763","13062184.0219027","11110461.5858641","11103529.7161168","11094077.9395845","10927763.4365076","10917625.3431086","10906993.4311381","10772848.2233619","10764426.1691221","10662139.372933","10557107.0224425","10485459.4722432","10403975.3908901","10053579.7649376","9879364.93919466","9875526.10330703","9850594.91260876","9834914.53520956","9697048.31164293","9658765.44026689","9640860.46910091","7159516.80278104","7128145.47700052","5441530.85424406","5440928.41280733","4644958.02484402","4639748.95223734","-Inf","-Inf","-Inf","-Inf"
"ICL","13981354.5344801","13964778.520348","13884446.1479596","13851591.1909778","13782471.0537803","13777189.4606412","13238683.9266855","13231109.7665889","13200481.7168711","13099245.4451474","13075121.5867065","13062105.6077943","11110349.6830115","11103424.1469666","11093977.1873956","10927617.2376986","10917495.5763969","10906846.246868","10772744.1261705","10764352.3819836","10662039.6015564","10556972.1533588","10485331.2251829","10403812.8496786","10053464.9757683","9879254.01228307","9875396.83267491","9850483.87403554","9834765.58546526","9696914.39572874","9658595.98470835","9640740.90766103","7159298.40890937","7127941.50789235","5441319.02513834","5440771.1933076","4644804.33856945","4639587.33588357","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","4","1","6","5","7","9","8","10","11","12","22","21","23","24","26","25","15","17","16","20","18","31","30","36","37","35","34","40","39","38","13","14","28","27","42","41","19","29","32","33"
"complexity","146151","137219","140946","116789","157589","148033","103035","102796","102810","103021","102796","102782","36810","36870","36796","36856","36782","36796","24646","24199","23396","22546","22184","18894","14827","12360","12346","12360","13982","12332","12346","12346","12637","12622","8222","8226","6592","6592",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
